"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "XML", "JavaScript JSX", "comment", "blank", "total"
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\package.json", "JSON", 0, 62, 0, 0, 0, 0, 0, 0, 1, 63
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\public\index.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 23, 3, 43
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\App.css", "CSS", 0, 0, 56, 0, 0, 0, 0, 1, 13, 70
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\App.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 1, 5, 34
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\aboutus\AboutUs.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\data\DummyData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18489, 12, 1, 18502
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\home\AdminContainer.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pageStyles\dashboard.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 0, 10, 60
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pages\DashBoard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 3, 35
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pages\General.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 3, 175
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pages\Listing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pages\Payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pages\Review.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\landlord\pages\Sales.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 5, 109
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\listining\Listing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\utils\NavLinks.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 1, 5, 59
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\admin\utils\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 1, 5, 82
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\auth\FormStyles.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\auth\LandLordSignUp.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 7, 23, 245
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\auth\LoginPage.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 9, 17, 150
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\auth\StudentSignUp.js", "JavaScript", 296, 0, 0, 0, 0, 0, 0, 10, 30, 336
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\auth\auth.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\cards\Modules\PopUpCardTemplate.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 7, 60
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\email\EmailSubscriptions.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\error\ErrorPage.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\featured\Featured.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\footer\Footer.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 1, 8, 74
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\help\FrequentlyAskedQuestions.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 10, 90
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\help\Help.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 8, 78
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\help\accordien.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\FeaturedProperties.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 1, 11, 86
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\LandingPage.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 5, 64
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\PropertyManagers.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
